Type,DataType,components,value
sensor,boolean,ADAS,0
sensor,boolean,ADAS,0
branch,,ADAS,0
actuator,boolean,ADAS,0
sensor,boolean,ADAS,0
sensor,boolean,ADAS,0
branch,,ADAS,0
actuator,boolean,ADAS,0
sensor,boolean,ADAS,0
sensor,boolean,ADAS,0
branch,,ADAS,0
actuator,boolean,ADAS,0
sensor,boolean,ADAS,0
sensor,boolean,ADAS,0
sensor,boolean,ADAS,0
branch,,ADAS,0
sensor,float,ADAS,0
sensor,float,ADAS,0
sensor,float,ADAS,0
branch,,ADAS,0
actuator,boolean,ADAS,0
sensor,boolean,ADAS,0
sensor,boolean,ADAS,0
branch,,ADAS,0
actuator,boolean,ADAS,0
sensor,boolean,ADAS,0
sensor,boolean,ADAS,0
branch,,ADAS,0
actuator,boolean,ADAS,0
sensor,boolean,ADAS,0
sensor,boolean,ADAS,0
actuator,uint8,ADAS,0
actuator,boolean,ADAS,0
branch,,Chassis,0
attribute,uint16,Chassis,0
branch,,Chassis,0
branch,,Chassis,0
attribute,uint16,Chassis,0
attribute,uint16,Chassis,0
attribute,uint16,Chassis,0
attribute,uint8,Chassis,0
attribute,float,Chassis,0
attribute,float,Chassis,0
sensor,float,Chassis,0
attribute,float,Chassis,0
attribute,uint16,Chassis,0
attribute,uint8,Chassis,0
branch,,Chassis,0
branch,,Chassis,0
branch,,Chassis,0
sensor,uint8,Chassis,0
sensor,boolean,Chassis,0
sensor,uint8,Chassis,0
sensor,boolean,Chassis,0
branch,,Chassis,0
sensor,uint16,Chassis,0
sensor,boolean,Chassis,0
sensor,float,Chassis,0
sensor,float,Chassis,0
sensor,float,Chassis,0
branch,,Chassis,0
branch,,Chassis,0
sensor,uint8,Chassis,0
sensor,boolean,Chassis,0
sensor,uint8,Chassis,0
